"Team2","School.x","Overall_G.x","Overall_W.x","Overall_L.x","Overall_WL_Percentage.x","Overall_SRS.x","Overall_SOS.x","Conf_W.x","Conf_L.x","Home_W.x","Home_L.x","Away_W.x","Away_L.x","Team_Points.x","Opp_Points.x","MP.x","FG.x","FGA.x","FG_Percentage.x","X3P.x","X3PA.x","X3P_Percentage.x","FT.x","FTA.x","FT_Percentage.x","ORB.x","TRB.x","AST.x","STL.x","BLK.x","TOV.x","PF.x","WL_Percentage.x","SRS.x","SOS.x","Pace.x","ORtg.x","FTr.x","X3PAr.x","True_Shooting_Percentage.x","True_Rebound_Percentage.x","Assist_Percentage.x","Steal_Percentage.x","Block_Percentage.x","Effective_FG_Percentage.x","TO_Percentage.x","O_Reb_Percentage.x","FT_Per_FG.x","Team1","School.y","Overall_G.y","Overall_W.y","Overall_L.y","Overall_WL_Percentage.y","Overall_SRS.y","Overall_SOS.y","Conf_W.y","Conf_L.y","Home_W.y","Home_L.y","Away_W.y","Away_L.y","Team_Points.y","Opp_Points.y","MP.y","FG.y","FGA.y","FG_Percentage.y","X3P.y","X3PA.y","X3P_Percentage.y","FT.y","FTA.y","FT_Percentage.y","ORB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","WL_Percentage.y","SRS.y","SOS.y","Pace.y","ORtg.y","FTr.y","X3PAr.y","True_Shooting_Percentage.y","True_Rebound_Percentage.y","Assist_Percentage.y","Steal_Percentage.y","Block_Percentage.y","Effective_FG_Percentage.y","TO_Percentage.y","O_Reb_Percentage.y","FT_Per_FG.y","Tournament_Type","Winner_ID"
239,"Pennsylvania NCAA",33,24,9,0.727,2.24,-3.17,12,2,11,3,9,4,2506,2274,1355,893,1948,0.458,291,831,0.35,429,651,0.659,283,1239,508,194,92,391,566,0.727,2.24,-3.17,70.2,105.3,0.334,0.427,0.555,51,56.9,8.2,7,0.533,14.8,23.6,0.22,141,"Kansas NCAA",39,31,8,0.795,21.39,11.87,13,5,14,3,8,3,3174,2803,1565,1165,2366,0.492,391,974,0.401,453,639,0.709,372,1388,649,254,160,456,597,0.795,21.39,11.87,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,"March Madness",141
247,"Providence NCAA",35,21,14,0.6,11.12,10.23,10,8,13,4,4,7,2575,2544,1425,899,2037,0.441,223,671,0.332,554,787,0.704,362,1247,485,238,128,430,624,0.6,11.12,10.23,69.6,103.8,0.386,0.329,0.534,49.6,53.9,9.6,9.8,0.496,15.1,28.3,0.272,305,"Texas A&M NCAA",35,22,13,0.629,15.3,10.62,9,9,13,3,4,7,2631,2467,1400,976,2121,0.46,230,700,0.329,449,679,0.661,429,1450,538,191,208,476,574,0.629,15.3,10.62,70.9,106,0.32,0.33,0.538,54.3,55.1,7.7,15.2,0.514,16.3,33.7,0.212,"March Madness",305
248,"Purdue NCAA",37,30,7,0.811,23.41,8.74,15,3,16,1,8,2,2974,2431,1485,1033,2097,0.493,353,840,0.42,555,747,0.743,311,1295,598,211,180,399,580,0.811,23.41,8.74,68.2,117.5,0.356,0.401,0.606,51.8,57.9,8.3,12.5,0.577,14,27.3,0.265,313,"Texas Tech NCAA",37,27,10,0.73,19.38,9.6,11,7,17,1,4,6,2759,2397,1490,964,2096,0.46,252,702,0.359,579,823,0.704,396,1332,506,262,154,454,669,0.73,19.38,9.6,68.5,108.2,0.393,0.335,0.555,52.6,52.5,10.3,12.4,0.52,15.4,32.2,0.276,"March Madness",313
248,"Purdue NCAA",37,30,7,0.811,23.41,8.74,15,3,16,1,8,2,2974,2431,1485,1033,2097,0.493,353,840,0.42,555,747,0.743,311,1295,598,211,180,399,580,0.811,23.41,8.74,68.2,117.5,0.356,0.401,0.606,51.8,57.9,8.3,12.5,0.577,14,27.3,0.265,36,"Butler NCAA",35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,1430,1020,2155,0.473,287,805,0.357,436,562,0.776,319,1198,489,232,100,391,642,0.6,16.92,10.55,69.7,110.9,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.1,0.202,"March Madness",248
250,"Radford NCAA",36,23,13,0.639,-2.61,-4.08,12,6,12,2,7,10,2422,2336,1465,850,2000,0.425,277,793,0.349,445,614,0.725,414,1244,442,226,105,441,596,0.639,-2.61,-4.08,63.4,104.3,0.307,0.397,0.528,52.3,52,9.7,9.1,0.494,16.1,33.6,0.223,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"March Madness",327
254,"Rider",32,22,10,0.688,0.98,-2.62,15,3,12,1,8,7,2620,2505,1285,932,2004,0.465,243,678,0.358,513,844,0.608,421,1253,459,241,109,424,638,0.688,0.98,-2.62,74.8,109.1,0.421,0.338,0.545,51.7,49.2,10,10.1,0.526,15,33.4,0.256,236,"Oregon",36,23,13,0.639,10.7,4.84,10,8,16,3,4,7,2817,2606,1460,986,2155,0.458,324,908,0.357,521,683,0.763,372,1262,556,248,152,434,712,0.639,10.7,4.84,69.6,110.9,0.317,0.421,0.568,52.3,56.4,9.8,12.3,0.533,14.9,31,0.242,"NIT",236
262,"Saint Mary's (CA)",36,30,6,0.833,12.86,0.33,16,2,18,2,11,1,2772,2321,1455,1014,1970,0.515,284,692,0.41,460,598,0.769,298,1212,557,160,94,357,556,0.833,12.86,0.33,63.6,119.8,0.304,0.351,0.615,55.1,54.9,6.9,6.8,0.587,13.7,29.2,0.234,323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,"NIT",323
266,"San Diego State NCAA",33,22,11,0.667,12.23,3.91,11,7,13,2,5,7,2545,2240,1320,902,1967,0.459,239,709,0.337,502,702,0.715,364,1250,488,206,107,394,564,0.667,12.23,3.91,70.4,109.6,0.357,0.36,0.553,53.7,54.1,8.9,9.4,0.519,14.6,31.8,0.255,121,"Houston NCAA",35,27,8,0.771,15.99,4.16,14,4,15,0,6,5,2685,2271,1400,952,2066,0.461,297,768,0.387,484,674,0.718,404,1351,505,218,106,418,737,0.771,15.99,4.16,68.5,112,0.326,0.372,0.563,54.5,53,9.1,9,0.533,14.9,33.4,0.234,"March Madness",121
273,"Seton Hall NCAA",34,22,12,0.647,15.67,10.11,10,8,14,3,5,6,2701,2512,1370,971,2073,0.468,250,685,0.365,509,729,0.698,409,1302,527,210,117,432,614,0.647,15.67,10.11,71.2,110.7,0.352,0.33,0.558,53.1,54.3,8.6,9.1,0.529,15.2,33.6,0.246,141,"Kansas NCAA",39,31,8,0.795,21.39,11.87,13,5,14,3,8,3,3174,2803,1565,1165,2366,0.492,391,974,0.401,453,639,0.709,372,1388,649,254,160,456,597,0.795,21.39,11.87,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,"March Madness",141
279,"South Dakota State NCAA",35,28,7,0.8,6.84,-0.38,13,1,15,0,8,5,2958,2599,1415,1003,2147,0.467,374,927,0.403,578,759,0.762,308,1360,467,172,80,353,562,0.8,6.84,-0.38,72.3,115.6,0.354,0.432,0.59,52.2,46.6,6.7,5.9,0.554,12.3,24.7,0.269,229,"Ohio State NCAA",34,25,9,0.735,17.67,9.03,15,3,16,2,6,2,2591,2297,1375,951,1980,0.48,239,678,0.353,450,616,0.731,330,1245,499,209,132,399,595,0.735,17.67,9.03,68,110.9,0.311,0.342,0.57,53.6,52.5,8.9,11.3,0.541,14.9,29.8,0.227,"March Madness",229
283,"Southeastern Louisiana",34,22,12,0.647,-6.4,-6.2,15,3,10,3,10,7,2439,2357,1360,867,1911,0.454,250,712,0.351,455,692,0.658,357,1158,498,225,98,468,568,0.647,-6.4,-6.2,69.1,103.9,0.362,0.373,0.544,49.2,57.4,9.6,7.5,0.519,17.3,30.5,0.238,262,"Saint Mary's (CA)",36,30,6,0.833,12.86,0.33,16,2,18,2,11,1,2772,2321,1455,1014,1970,0.515,284,692,0.41,460,598,0.769,298,1212,557,160,94,357,556,0.833,12.86,0.33,63.6,119.8,0.304,0.351,0.615,55.1,54.9,6.9,6.8,0.587,13.7,29.2,0.234,"NIT",262
291,"St. Bonaventure NCAA",34,26,8,0.765,8.87,2.61,14,4,13,1,9,4,2620,2407,1380,884,1958,0.451,255,661,0.386,597,794,0.752,344,1208,472,238,118,391,674,0.765,8.87,2.61,69.3,109.5,0.406,0.338,0.561,50.5,53.4,9.9,10.8,0.517,14.3,29.3,0.305,97,"Florida NCAA",34,21,13,0.618,16.67,10.08,11,7,12,5,5,4,2577,2353,1375,893,2065,0.432,308,832,0.37,483,673,0.718,366,1199,445,236,164,335,591,0.618,16.67,10.08,68.4,109.5,0.326,0.403,0.54,48.5,49.8,10,12.7,0.507,12.3,28.6,0.234,"March Madness",97
295,"Stephen F. Austin NCAA",35,28,7,0.8,2.67,-6.46,14,4,16,1,9,5,2819,2386,1400,1000,2059,0.486,242,651,0.372,577,819,0.705,400,1248,499,357,106,540,763,0.8,2.67,-6.46,73.8,109.2,0.398,0.316,0.576,52.7,49.9,13.8,9.6,0.544,18.1,33.4,0.28,313,"Texas Tech NCAA",37,27,10,0.73,19.38,9.6,11,7,17,1,4,6,2759,2397,1490,964,2096,0.46,252,702,0.359,579,823,0.704,396,1332,506,262,154,454,669,0.73,19.38,9.6,68.5,108.2,0.393,0.335,0.555,52.6,52.5,10.3,12.4,0.52,15.4,32.2,0.276,"March Madness",313
298,"Syracuse NCAA",37,23,14,0.622,12.89,10.02,8,10,14,5,4,6,2466,2360,1500,832,1995,0.417,208,656,0.317,594,808,0.735,433,1375,395,258,197,460,611,0.622,12.89,10.02,64.3,102.2,0.405,0.329,0.518,52.6,47.5,10.7,17.3,0.469,16.2,34.1,0.298,307,"Texas Christian NCAA",33,21,12,0.636,16.38,9.68,9,9,15,3,3,7,2708,2487,1345,979,1973,0.496,274,694,0.395,476,674,0.706,363,1200,615,214,119,419,553,0.636,16.38,9.68,70.1,114.9,0.342,0.352,0.59,54.5,62.8,9.1,9.4,0.566,15.4,33.8,0.241,"March Madness",298
299,"Temple",33,17,16,0.515,7.25,7.79,8,10,8,5,4,10,2308,2326,1330,845,1989,0.425,271,773,0.351,347,509,0.682,337,1120,420,220,108,357,580,0.515,7.25,7.79,67.5,102.9,0.256,0.389,0.517,47.1,49.7,9.8,9,0.493,13.8,27.6,0.174,238,"Penn State",39,26,13,0.667,15.85,7.79,9,9,15,4,6,7,2915,2601,1570,1057,2291,0.461,294,759,0.387,507,722,0.702,422,1384,541,282,193,463,685,0.667,15.85,7.79,67.9,109.3,0.315,0.331,0.553,51.8,51.2,10.6,13.3,0.526,15,31.7,0.221,"NIT",238
303,"Tennessee NCAA",35,26,9,0.743,18.2,10.12,13,5,13,2,8,4,2584,2301,1410,885,2012,0.44,273,718,0.38,541,715,0.757,404,1262,550,222,156,422,680,0.743,18.2,10.12,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3,0.269,159,"Loyola (IL) NCAA",38,32,6,0.842,10.38,1.81,15,3,14,1,9,4,2721,2377,1520,995,1963,0.507,277,700,0.396,454,626,0.725,229,1222,594,241,90,472,528,0.842,10.38,1.81,66,108.4,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,21.8,0.231,"March Madness",159
305,"Texas A&M NCAA",35,22,13,0.629,15.3,10.62,9,9,13,3,4,7,2631,2467,1400,976,2121,0.46,230,700,0.329,449,679,0.661,429,1450,538,191,208,476,574,0.629,15.3,10.62,70.9,106,0.32,0.33,0.538,54.3,55.1,7.7,15.2,0.514,16.3,33.7,0.212,178,"Michigan NCAA",41,33,8,0.805,19.03,9.41,13,5,15,1,6,5,3019,2596,1655,1092,2335,0.468,361,1011,0.357,474,717,0.661,336,1365,585,261,126,379,643,0.805,19.03,9.41,65.8,110.8,0.307,0.433,0.564,50.2,53.6,9.6,8.1,0.545,12.4,24.9,0.203,"March Madness",178
313,"Texas Tech NCAA",37,27,10,0.73,19.38,9.6,11,7,17,1,4,6,2759,2397,1490,964,2096,0.46,252,702,0.359,579,823,0.704,396,1332,506,262,154,454,669,0.73,19.38,9.6,68.5,108.2,0.393,0.335,0.555,52.6,52.5,10.3,12.4,0.52,15.4,32.2,0.276,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"March Madness",327
313,"Texas Tech NCAA",37,27,10,0.73,19.38,9.6,11,7,17,1,4,6,2759,2397,1490,964,2096,0.46,252,702,0.359,579,823,0.704,396,1332,506,262,154,454,669,0.73,19.38,9.6,68.5,108.2,0.393,0.335,0.555,52.6,52.5,10.3,12.4,0.52,15.4,32.2,0.276,97,"Florida NCAA",34,21,13,0.618,16.67,10.08,11,7,12,5,5,4,2577,2353,1375,893,2065,0.432,308,832,0.37,483,673,0.718,366,1199,445,236,164,335,591,0.618,16.67,10.08,68.4,109.5,0.326,0.403,0.54,48.5,49.8,10,12.7,0.507,12.3,28.6,0.234,"March Madness",313
314,"Texas NCAA",34,19,15,0.559,13.96,10.67,8,10,13,4,3,7,2450,2338,1410,882,2010,0.439,245,766,0.32,441,663,0.665,358,1217,393,209,167,399,547,0.559,13.96,10.67,66.9,103.9,0.33,0.381,0.527,50,44.6,8.9,12.7,0.5,14.6,29.3,0.219,199,"Nevada NCAA",37,29,8,0.784,14.44,4.93,15,3,14,1,11,3,3055,2703,1500,1049,2238,0.469,354,904,0.392,603,812,0.743,339,1316,598,230,150,357,630,0.784,14.44,4.93,70.6,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.2,0.269,"March Madness",199
323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,156,"Louisiana State",33,18,15,0.545,10.93,8.03,8,10,14,4,3,8,2559,2463,1325,916,1926,0.476,268,774,0.346,459,628,0.731,317,1101,467,252,110,382,585,0.545,10.93,8.03,69.4,111.3,0.326,0.402,0.575,49.4,51,11,9.7,0.545,14.7,29.2,0.238,"NIT",323
323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,238,"Penn State",39,26,13,0.667,15.85,7.79,9,9,15,4,6,7,2915,2601,1570,1057,2291,0.461,294,759,0.387,507,722,0.702,422,1384,541,282,193,463,685,0.667,15.85,7.79,67.9,109.3,0.315,0.331,0.553,51.8,51.2,10.6,13.3,0.526,15,31.7,0.221,"NIT",238
323,"Utah",35,23,12,0.657,11.4,6.4,11,7,15,3,6,6,2571,2396,1410,876,1903,0.46,322,870,0.37,497,655,0.759,266,1174,532,180,115,414,567,0.657,11.4,6.4,67.2,108.5,0.344,0.457,0.581,49.2,60.7,7.6,9.1,0.545,15.8,23.8,0.261,340,"Western Kentucky",38,27,11,0.711,11.08,3.65,14,4,14,3,9,5,2979,2674,1525,1075,2183,0.492,206,587,0.351,623,869,0.717,369,1356,515,271,140,441,569,0.711,11.08,3.65,69.7,112.1,0.398,0.269,0.574,51.5,47.9,10.2,9.6,0.54,14.5,29.7,0.285,"NIT",323
326,"Vermont",35,27,8,0.771,4.89,-3.17,15,1,12,2,12,5,2587,2277,1400,879,1806,0.487,260,650,0.4,569,755,0.754,269,1160,467,134,89,388,528,0.771,4.89,-3.17,65.3,113.2,0.418,0.36,0.598,53.5,53.1,5.9,7.4,0.559,15.2,26.3,0.315,179,"Middle Tennessee",33,25,8,0.758,10.29,2.83,16,2,12,2,12,2,2479,2188,1330,902,1914,0.471,241,648,0.372,434,585,0.742,346,1182,468,201,76,413,651,0.758,10.29,2.83,67.8,109.9,0.306,0.339,0.565,54.1,51.9,8.9,7.1,0.534,15.9,31.2,0.227,"NIT",179
327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,178,"Michigan NCAA",41,33,8,0.805,19.03,9.41,13,5,15,1,6,5,3019,2596,1655,1092,2335,0.468,361,1011,0.357,474,717,0.661,336,1365,585,261,126,379,643,0.805,19.03,9.41,65.8,110.8,0.307,0.433,0.564,50.2,53.6,9.6,8.1,0.545,12.4,24.9,0.203,"March Madness",327
327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,311,"Texas Southern NCAA",36,16,20,0.444,-7.53,-5.53,12,6,8,2,5,17,2787,2859,1450,925,2111,0.438,280,781,0.359,657,906,0.725,368,1301,438,207,144,453,631,0.444,-7.53,-5.53,72.7,105.7,0.429,0.37,0.548,48.5,47.4,7.8,9.3,0.505,15.1,28.2,0.311,"March Madness",327
332,"Wagner",33,23,10,0.697,-3.19,-6.9,14,4,16,1,7,9,2448,2256,1325,839,1962,0.428,269,769,0.35,501,705,0.711,446,1290,441,218,129,451,729,0.697,-3.19,-6.9,69.6,106.2,0.359,0.392,0.533,53.7,52.6,9.5,11.5,0.496,16.4,36.3,0.255,22,"Baylor",34,19,15,0.559,14.59,9.17,8,10,15,5,2,9,2571,2369,1375,941,2007,0.469,217,608,0.357,470,640,0.734,400,1292,516,185,152,463,608,0.559,14.59,9.17,68.5,109.1,0.319,0.303,0.556,54.2,54.8,7.9,12.2,0.523,16.7,35.6,0.234,"NIT",22
335,"Washington",34,21,13,0.618,7.65,6.06,10,8,16,4,4,6,2535,2481,1375,900,1963,0.458,230,664,0.346,505,720,0.701,328,1114,398,274,177,453,640,0.618,7.65,6.06,70.7,104.4,0.367,0.338,0.55,48.1,44.2,11.3,13.8,0.517,16.4,28.9,0.257,26,"Boise State",32,23,9,0.719,11.21,3.05,13,5,15,1,6,6,2502,2210,1300,878,1903,0.461,307,809,0.379,439,595,0.738,318,1232,427,183,70,433,573,0.719,11.21,3.05,70.7,108.8,0.313,0.425,0.572,55.9,48.6,8,5.9,0.542,16.5,29.3,0.231,"NIT",335
335,"Washington",34,21,13,0.618,7.65,6.06,10,8,16,4,4,6,2535,2481,1375,900,1963,0.458,230,664,0.346,505,720,0.701,328,1114,398,274,177,453,640,0.618,7.65,6.06,70.7,104.4,0.367,0.338,0.55,48.1,44.2,11.3,13.8,0.517,16.4,28.9,0.257,262,"Saint Mary's (CA)",36,30,6,0.833,12.86,0.33,16,2,18,2,11,1,2772,2321,1455,1014,1970,0.515,284,692,0.41,460,598,0.769,298,1212,557,160,94,357,556,0.833,12.86,0.33,63.6,119.8,0.304,0.351,0.615,55.1,54.9,6.9,6.8,0.587,13.7,29.2,0.234,"NIT",262
337,"West Virginia NCAA",37,26,11,0.703,19.88,9.36,11,7,14,3,5,5,2964,2575,1485,1036,2374,0.436,322,911,0.353,570,744,0.766,513,1401,561,301,192,420,798,0.703,19.88,9.36,70.6,113,0.313,0.384,0.543,52.5,54.2,11.5,15.9,0.504,13.3,36.5,0.24,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"March Madness",327
340,"Western Kentucky",38,27,11,0.711,11.08,3.65,14,4,14,3,9,5,2979,2674,1525,1075,2183,0.492,206,587,0.351,623,869,0.717,369,1356,515,271,140,441,569,0.711,11.08,3.65,69.7,112.1,0.398,0.269,0.574,51.5,47.9,10.2,9.6,0.54,14.5,29.7,0.285,327,"Villanova NCAA",40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1435,655,259,162,426,645,0.9,26.64,10.24,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,"NIT",340
347,"Wright State NCAA",35,25,10,0.714,0.58,-3.64,14,4,14,2,8,7,2500,2307,1410,873,2019,0.432,237,703,0.337,517,723,0.715,354,1267,460,231,77,459,558,0.714,0.58,-3.64,70,101.4,0.358,0.348,0.529,51.8,52.7,9.4,6.5,0.491,16.3,28.8,0.256,303,"Tennessee NCAA",35,26,9,0.743,18.2,10.12,13,5,13,2,8,4,2584,2301,1410,885,2012,0.44,273,718,0.38,541,715,0.757,404,1262,550,222,156,422,680,0.743,18.2,10.12,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3,0.269,"March Madness",303
349,"Xavier NCAA",35,29,6,0.829,19.08,9.45,15,3,17,1,9,2,2953,2616,1415,1011,2055,0.492,274,736,0.372,657,843,0.779,340,1342,579,205,109,441,602,0.829,19.08,9.45,72.4,115.4,0.41,0.358,0.601,55.1,57.3,8,8.4,0.559,15.2,29.9,0.32,96,"Florida State NCAA",35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,1420,994,2124,0.468,273,781,0.35,543,786,0.691,393,1322,523,241,186,456,652,0.657,15.79,8.5,72.2,109.4,0.37,0.368,0.562,51.9,52.6,9.4,14,0.532,15.4,31.8,0.256,"March Madness",96
